Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000000400000 CH2:0.0000000400000,,Second,Volt,Volt
,,,-0.00039587999,0.10000,0.04640
,,,-0.00039584000,0.08000,0.04640
,,,-0.00039579999,0.08000,0.04640
,,,-0.00039576000,0.08000,0.04640
,,,-0.00039572001,0.08000,0.04640
,,,-0.00039567999,0.08000,0.04560
,,,-0.00039564000,0.08000,0.04640
,,,-0.00039559999,0.06000,0.04640
,,,-0.00039556000,0.06000,0.04560
,,,-0.00039552001,0.06000,0.04640
,,,-0.00039547999,0.06000,0.04640
,,,-0.00039544000,0.06000,0.04640
,,,-0.00039539998,0.04000,0.04640
,,,-0.00039536000,0.04000,0.04640
,,,-0.00039532001,0.04000,0.04640
,,,-0.00039527999,0.04000,0.04640
,,,-0.00039524000,0.04000,0.04640
,,,-0.00039520001,0.04000,0.04640
,,,-0.00039515999,0.02000,0.04720
,,,-0.00039512001,0.02000,0.04640
,,,-0.00039507999,0.02000,0.04720
,,,-0.00039504000,0.02000,0.04640
,,,-0.00039500001,0.02000,0.04720
,,,-0.00039495999,0.02000,0.04720
,,,-0.00039492000,0.00,0.04640
,,,-0.00039487999,0.00,0.04720
,,,-0.00039484000,0.00,0.04720
,,,-0.00039480001,0.00,0.04640
,,,-0.00039475999,-0.02000,0.04720
,,,-0.00039472000,-0.02000,0.04720
,,,-0.00039467998,-0.02000,0.04720
,,,-0.00039464000,-0.02000,0.04720
,,,-0.00039460001,-0.04000,0.04720
,,,-0.00039455999,-0.02000,0.04720
,,,-0.00039452000,-0.04000,0.04720
,,,-0.00039448001,-0.04000,0.04720
,,,-0.00039443999,-0.04000,0.04720
,,,-0.00039440001,-0.04000,0.04720
,,,-0.00039435999,-0.04000,0.04720
,,,-0.00039432000,-0.06000,0.04800
,,,-0.00039428001,-0.06000,0.04720
,,,-0.00039423999,-0.06000,0.04720
,,,-0.00039420000,-0.06000,0.04800
,,,-0.00039415999,-0.06000,0.04720
,,,-0.00039412000,-0.08000,0.04720
,,,-0.00039408001,-0.08000,0.04720
,,,-0.00039403999,-0.08000,0.04720
,,,-0.00039400000,-0.08000,0.04720
,,,-0.00039395998,-0.08000,0.04720
,,,-0.00039392000,-0.10000,0.04720
,,,-0.00039388001,-0.10000,0.04720
,,,-0.00039383999,-0.10000,0.04720
,,,-0.00039380000,-0.10000,0.04800
,,,-0.00039375998,-0.10000,0.04720
,,,-0.00039371999,-0.10000,0.04800
,,,-0.00039368001,-0.12000,0.04800
,,,-0.00039363999,-0.12000,0.04800
,,,-0.00039360000,-0.12000,0.04800
,,,-0.00039356001,-0.12000,0.04800
,,,-0.00039351999,-0.12000,0.04800
,,,-0.00039348000,-0.14000,0.04720
,,,-0.00039343999,-0.14000,0.04720
,,,-0.00039340000,-0.14000,0.04800
,,,-0.00039336001,-0.14000,0.04720
,,,-0.00039331999,-0.14000,0.04720
,,,-0.00039328000,-0.16000,0.04720
,,,-0.00039323998,-0.16000,0.04720
,,,-0.00039320000,-0.16000,0.04720
,,,-0.00039316001,-0.16000,0.04720
,,,-0.00039311999,-0.16000,0.04720
,,,-0.00039308000,-0.16000,0.04720
,,,-0.00039303998,-0.18000,0.04720
,,,-0.00039299999,-0.18000,0.04720
,,,-0.00039296001,-0.18000,0.04720
,,,-0.00039291999,-0.18000,0.04720
,,,-0.00039288000,-0.20000,0.04720
,,,-0.00039284001,-0.20000,0.04720
,,,-0.00039279999,-0.20000,0.04720
,,,-0.00039276000,-0.20000,0.04800
,,,-0.00039271999,-0.20000,0.04800
,,,-0.00039268000,-0.22000,0.04720
,,,-0.00039264001,-0.22000,0.04720
,,,-0.00039259999,-0.22000,0.04800
,,,-0.00039256000,-0.22000,0.04720
,,,-0.00039251999,-0.22000,0.04720
,,,-0.00039248000,-0.22000,0.04720
,,,-0.00039244001,-0.24000,0.04720
,,,-0.00039239999,-0.24000,0.04720
,,,-0.00039236000,-0.24000,0.04720
,,,-0.00039231998,-0.24000,0.04640
,,,-0.00039228000,-0.24000,0.04720
,,,-0.00039224001,-0.26000,0.04720
,,,-0.00039219999,-0.24000,0.04640
,,,-0.00039216000,-0.26000,0.04720
,,,-0.00039212001,-0.26000,0.04640
,,,-0.00039207999,-0.26000,0.04640
,,,-0.00039204000,-0.26000,0.04720
,,,-0.00039199999,-0.28000,0.04640
,,,-0.00039196000,-0.28000,0.04720
,,,-0.00039192001,-0.28000,0.04720
,,,-0.00039187999,-0.28000,0.04640
,,,-0.00039184000,-0.28000,0.04640
,,,-0.00039179999,-0.30000,0.04640
,,,-0.00039176000,-0.30000,0.04640
,,,-0.00039172001,-0.30000,0.04640
,,,-0.00039167999,-0.32000,0.04640
,,,-0.00039164000,-0.32000,0.04640
,,,-0.00039159998,-0.30000,0.04640
,,,-0.00039156000,-0.32000,0.04640
,,,-0.00039152001,-0.32000,0.04640
,,,-0.00039147999,-0.32000,0.04640
,,,-0.00039144000,-0.34000,0.04640
,,,-0.00039140001,-0.34000,0.04640
,,,-0.00039135999,-0.34000,0.04640
,,,-0.00039132001,-0.36000,0.04640
,,,-0.00039127999,-0.34000,0.04640
,,,-0.00039124000,-0.34000,0.04640
,,,-0.00039120001,-0.36000,0.04560
,,,-0.00039115999,-0.36000,0.04560
,,,-0.00039112000,-0.36000,0.04560
,,,-0.00039107999,-0.38000,0.04560
,,,-0.00039104000,-0.36000,0.04640
,,,-0.00039100001,-0.38000,0.04560
,,,-0.00039095999,-0.38000,0.04560
,,,-0.00039092000,-0.38000,0.04560
,,,-0.00039087998,-0.38000,0.04560
,,,-0.00039084000,-0.40000,0.04560
,,,-0.00039080001,-0.40000,0.04560
,,,-0.00039075999,-0.40000,0.04560
,,,-0.00039072000,-0.40000,0.04560
,,,-0.00039068001,-0.40000,0.04560
,,,-0.00039063999,-0.42000,0.04480
,,,-0.00039060001,-0.42000,0.04560
,,,-0.00039055999,-0.42000,0.04560
,,,-0.00039052000,-0.42000,0.04480
,,,-0.00039048001,-0.42000,0.04480
,,,-0.00039043999,-0.42000,0.04480
,,,-0.00039040000,-0.42000,0.04480
,,,-0.00039035999,-0.42000,0.04480
,,,-0.00039032000,-0.44000,0.04400
,,,-0.00039028001,-0.44000,0.04480
,,,-0.00039023999,-0.44000,0.04480
,,,-0.00039020000,-0.46000,0.04400
,,,-0.00039015998,-0.44000,0.04480
,,,-0.00039012000,-0.46000,0.04480
,,,-0.00039008001,-0.46000,0.04400
,,,-0.00039003999,-0.46000,0.04400
,,,-0.00039000000,-0.48000,0.04400
,,,-0.00038995998,-0.48000,0.04400
,,,-0.00038991999,-0.48000,0.04400
,,,-0.00038988001,-0.48000,0.04400
,,,-0.00038983999,-0.48000,0.04400
,,,-0.00038980000,-0.48000,0.04400
,,,-0.00038976001,-0.50000,0.04320
,,,-0.00038971999,-0.50000,0.04400
,,,-0.00038968000,-0.50000,0.04400
,,,-0.00038963999,-0.52000,0.04400
,,,-0.00038960000,-0.50000,0.04400
,,,-0.00038956001,-0.52000,0.04400
,,,-0.00038951999,-0.54000,0.04320
,,,-0.00038948000,-0.52000,0.04320
,,,-0.00038943999,-0.54000,0.04320
,,,-0.00038940000,-0.54000,0.04320
,,,-0.00038936001,-0.52000,0.04320
,,,-0.00038931999,-0.54000,0.04240
,,,-0.00038928000,-0.56000,0.04240
,,,-0.00038923998,-0.54000,0.04320
,,,-0.00038919999,-0.54000,0.04240
,,,-0.00038916001,-0.56000,0.04240
,,,-0.00038911999,-0.56000,0.04320
,,,-0.00038908000,-0.56000,0.04240
,,,-0.00038904001,-0.56000,0.04240
